,US Aggregate Bonds,US High Yield Bonds,US Equities,US Bank Loans,European Equities,Asian Equities,Oil,Gold,EUR/USD,US Real Estate
2008-08-18,1402.91,576.46,1278.6,1708.13,3366.09,13165.45,112.87,800.07,1.4694,61.6
2008-08-19,1401.84,574.962,1266.69,1708.5,3279.75,12865.05,114.53,814.2,1.4776,60.08
2008-08-20,1407.7,574.639,1274.54,1708.26,3295.28,12851.69,114.98,813.55,1.4747,60.17
2008-08-21,1403.86,573.663,1277.72,1707.98,3248.92,12752.21,121.18,836.88,1.4899,59.1
2008-08-22,1402.13,573.54,1292.2,1707.92,3312.41,12666.04,114.59,823.03,1.4793,61.11
2008-08-25,1407.27,574.32,1266.84,1708.33,3280.41,12878.66,115.11,821.95,1.4754,59.26
2008-08-26,1408.17,574.485,1271.51,1708.11,3297.42,12778.71,116.27,824.93,1.4653,59.96
2008-08-27,1410.03,574.762,1281.66,1708.2,3299.15,12752.96,118.15,826.9,1.4727,60.56
2008-08-28,1409.71,575.244,1300.68,1708.46,3359.42,12768.25,115.59,834.03,1.4706,62.1
2008-08-29,1409.36,575.564,1282.83,1709.07,3365.63,13072.87,115.46,831.15,1.4673,61.67
2008-08-31,,575.711,,,,,,,,
2008-09-01,,575.86,,1709.95,3364.4,12834.18,,817.68,1.4617,
2008-09-02,1413.59,576.589,1277.58,1710.15,3416.46,12609.47,109.71,805.35,1.452,62.07
2008-09-03,1416.44,576.577,1274.98,1710.52,3368.97,12689.59,109.35,801.3,1.4498,63.05
2008-09-04,1420.3,576.196,1236.83,1710.83,3274.82,12557.66,107.89,796.45,1.4325,61.28
2008-09-05,1418.02,575.599,1242.31,1710.49,3185.83,12212.23,106.23,803.5,1.4267,61.29
2008-09-08,1429.46,577.673,1267.79,1711.72,3284.12,12624.46,106.34,802.3,1.4128,63.94
2008-09-09,1430.25,577.672,1224.51,1711.42,3261.07,12400.65,103.26,777.25,1.4133,61.55
2008-09-10,1428.13,576.338,1232.04,1710.34,3242.02,12346.63,102.58,752.45,1.3998,61.66
