,US Large Cap Equities,US Small Cap Equities,US Investment Grade Bonds,US High Yield Bonds,US Bank Loans,Developed Country Equities,Emerging Market Equities,Emerging Market Debt,Sentiment Score
2007-04-02,778.024,803.237,1640.71,593.844,1743.56,2152.13,928.13,540.7904,0.070322
2007-04-03,785.225,811.784,1638.966,593.958,1743.8,2172.57,937.11,540.8925,0.06771
2007-04-04,786.171,810.809,1639.971,593.663,1743.88,2186.05,947.44,541.4837,0.074499
2007-04-05,788.622,813.371,1637.964,593.911,1744.05,2191.19,950.29,541.5859,0.078386
2007-04-09,789.269,811.662,1632.81,594.356,1745.35,2184.44,956.9,541.3045,0.105775
2007-04-10,791.166,814.525,1635.813,594.762,1745.75,2205.66,960.33,541.5159,0.060619
2007-04-11,786.026,808.262,1635.204,595.071,1746.07,2204.06,963.62,541.7041,0.063381
2007-04-12,790.652,815.065,1635.57,595.201,1746.3,2202.45,963.34,540.9385,0.058942
2007-04-13,793.443,819.398,1633.688,595.622,1746.65,2207.74,968.99,540.5711,0.05777
2007-04-16,801.711,831.464,1637.227,596.695,1747.75,2235.6,980.67,541.7491,0.129226
2007-04-17,803.318,828.977,1642.227,597.521,1748.2,2239.39,978.44,542.8612,0.125126
2007-04-18,803.909,824.398,1646.067,598.238,1748.68,2241.9,975.68,544.0807,0.124418
2007-04-19,802.622,819.34,1644.966,598.627,1749.17,2228.48,964.33,544.4638,0.131788
2007-04-20,809.761,828.879,1645.253,599.423,1749.53,2246.65,979.57,545.1373,0.111323
2007-04-23,808.212,827.57,1648.066,600.245,1750.68,2241.82,980.86,545.859,0.157039
2007-04-24,807.735,826.376,1651.232,600.833,1751.16,2233.62,980.16,546.6268,0.146577
2007-04-25,815.43,832.087,1648.762,600.953,1751.56,2242.52,982.72,546.7095,0.137856
2007-04-26,815.053,833.817,1644.923,601.132,1752.06,2239.41,983.51,545.4288,0.146316
2007-04-27,814.582,829.718,1644.033,600.973,1752.55,2233.63,975.81,545.3051,0.144313
2007-04-30,807.824,814.589,1651.59,601.687,1753.5,2235.4,969.93,545.9946,0.170214
2007-05-01,809.916,816.272,1651.022,601.455,1753.88,2224.25,969.15,546.2471,0.155757
2007-05-02,815.679,828.479,1650.7,601.856,1754.11,2235.78,975.12,546.1022,0.142604
2007-05-03,819.032,828.886,1648.354,602.103,1754.52,2236.78,986.5,545.2962,0.133904
2007-05-04,820.894,832.898,1651.954,602.572,1754.88,2253.55,995.29,545.3748,0.131321
2007-05-07,822.768,831.891,1653.231,603.08,1755.93,2269.48,999.54,546.0025,0.128105
2007-05-08,821.942,830.915,1653.533,603.224,1756.35,2244.61,993.15,546.6458,0.110908
2007-05-09,824.894,834.786,1649.862,603.46,1756.68,2256.02,998.77,546.3518,0.119813
2007-05-10,813.407,818.65,1652.008,603.911,1757.11,2235.59,993.9,546.175,0.114386
2007-05-11,821.12,829.559,1650.263,603.915,1757.37,2240.07,990.84,546.0762,0.102647
2007-05-14,819.406,822.351,1649.931,604.507,1758.48,2242.88,998.01,545.885,0.094453
2007-05-15,817.771,814.197,1648.011,604.859,1758.87,2248.21,992.52,545.9333,0.101825
2007-05-16,824.521,820.221,1648.905,604.832,1759.24,2240.02,1003.9,546.5864,0.101654
2007-05-17,823.796,815.664,1644.692,604.661,1759.33,2232.74,1003.16,546.5678,0.106391
2007-05-18,829.052,823.68,1640.599,604.651,1759.49,2243.97,1005.71,545.9965,0.094986
2007-05-21,831.003,833.665,1642.638,605.438,1760.5,2241.01,1014.06,546.0795,0.105657
2007-05-22,831.055,839.945,1638.997,605.584,1760.93,2246.81,1017.43,546.0431,0.10612
2007-05-23,829.766,836.56,1636.669,605.696,1761.31,2265.03,1015.96,545.4103,0.101812
2007-05-24,821.204,823.821,1637.248,605.709,1761.75,2244.74,1003.4,544.1522,0.114535
2007-05-25,825.689,829.954,1637.015,605.556,1762.05,2238.12,1004.87,544.234,0.123507
2007-05-29,827.666,837.549,1636.024,605.934,1763.45,2251.6,1006.1,544.2219,0.111657
2007-05-30,834.478,843.371,1636.265,605.653,1763.77,2240.28,999.32,543.9294,0.127739
2007-05-31,835.138,847.164,1635.237,605.968,1764.18,2263.21,1014.79,543.8883,0.138861
2007-06-01,838.4,853.428,1629.64,605.608,1764.57,2277.33,1031.52,543.2615,0.137046
2007-06-04,840.006,855.113,1633.685,605.871,1765.73,2285.36,1034.45,543.6653,0.136533
2007-06-05,835.436,848.286,1629.227,605.504,1766.02,2282.3,1035.55,542.2343,0.127314
2007-06-06,827.542,841.229,1629.37,604.448,1766.37,2256.31,1024.03,540.8233,0.113398
2007-06-07,812.726,825.343,1616.812,601.638,1766.77,2232.93,1019.64,536.2008,0.105424
2007-06-08,821.846,835.331,1615.128,600.687,1767.06,2209.63,1006.86,534.9668,0.112054
2007-06-11,822.507,833.2,1614.54,601.08,1768.06,2222.94,1014.24,534.5325,0.143223
2007-06-12,813.886,821.735,1604.62,598.804,1768.43,2209.43,1014.13,531.5359,0.141545
2007-06-13,825.529,832.562,1609.705,598.845,1767.45,2208.03,1015.26,531.3065,0.143471
2007-06-14,829.593,837.144,1608.442,599.19,1768.7,2234.95,1036.43,532.8313,0.154691
2007-06-15,835.023,848.214,1612.982,599.954,1768.9,2264.39,1049.36,535.0207,0.155287
2007-06-18,833.781,846.301,1616.018,600.817,1769.95,2268.79,1061.79,536.7492,0.159279
2007-06-19,835.147,848.364,1621.524,600.581,1770.26,2265.31,1061.79,538.5065,0.155459
2007-06-20,824.092,836.195,1617.959,599.955,1770.62,2273.12,1064.28,537.2075,0.156729
2007-06-21,829.001,839.821,1614.096,597.927,1769.99,2256.19,1066.99,535.5821,0.165967
2007-06-22,818.012,834.765,1616.547,597.814,1769.89,2249.61,1064.22,535.0329,0.169371
2007-06-25,814.837,827.476,1622.703,596.891,1770.13,2247.04,1057.32,535.4016,0.153269
2007-06-26,811.88,826.148,1619.917,596.758,1770.03,2239.77,1051.1,534.3258,0.127237
2007-06-27,819.383,838.477,1622.63,594.944,1769.3,2219.87,1045.0,533.7718,0.113694
2007-06-28,819.278,839.02,1618.675,595.063,1768.27,2243.72,1056.39,534.2553,0.120161
2007-06-29,818.18,833.719,1627.115,595.626,1767.73,2262.24,1059.69,534.4765,0.106085
2007-07-02,827.176,845.082,1630.747,595.473,1768.0,2278.46,1072.89,536.1493,0.111583
2007-07-03,830.111,848.224,1626.487,595.188,1767.56,2292.16,1088.94,536.4186,0.118676
2007-07-05,830.795,850.147,1617.814,594.599,1767.43,2289.65,1097.32,534.9808,0.114496
2007-07-06,833.994,852.332,1613.788,594.263,1766.98,2299.97,1105.99,534.3248,0.125231
2007-07-09,834.783,853.256,1618.037,594.613,1766.63,2310.93,1119.3,535.1081,0.136764
2007-07-10,823.062,837.502,1628.795,593.203,1765.28,2306.78,1116.29,535.6736,0.133135
2007-07-11,827.699,839.994,1624.192,591.231,1763.15,2301.56,1113.77,535.4875,0.124026
2007-07-12,842.825,855.201,1620.539,592.169,1761.72,2317.06,1130.17,535.7495,0.104512
2007-07-13,845.651,855.794,1621.731,593.164,1761.96,2332.72,1146.12,535.9299,0.109066
2007-07-16,843.716,848.49,1628.676,594.53,1763.37,2335.7,1140.3,536.735,0.053621
2007-07-17,843.574,849.908,1624.668,594.193,1763.42,2327.93,1140.11,536.7317,0.065695
2007-07-18,841.872,845.928,1630.473,592.277,1762.68,2306.82,1132.2,536.8327,0.065299
2007-07-19,845.734,851.87,1628.12,591.935,1760.52,2327.85,1144.11,537.0608,0.055983
2007-07-20,835.69,836.458,1632.208,589.591,1757.31,2319.14,1151.04,536.4142,0.045905
2007-07-23,839.136,835.637,1631.352,587.491,1751.5,2321.14,1163.13,535.8704,0.048573
